title,make,model,year,condition,transmission,price
Mercedes-Benz GLK-Class 2012 Black,Mercedes-Benz,GLK-Class,2012,foreign used,automatic,"₦ 16,200,000"
Toyota Camry 2008 Silver,Toyota,Camry,2008,local used,automatic,"₦ 6,800,000"
Hyundai Elantra 2013,Hyundai,Elantra,2013,foreign used,automatic,"₦ 14,200,000"
Toyota Corolla 2005 Red,Toyota,Corolla,2005,local used,automatic,"₦ 4,200,000"
BMW X6 2011 Black,BMW,X6,2011,local used,automatic,"₦ 9,100,000"
Toyota Camry 2005 Gold,Toyota,Camry,2005,local used,automatic,"₦ 4,200,000"
Toyota Corolla LE Eco 4dr Sedan (1.8L 4cyl CVT) 2015 Silver,Toyota,Corolla LE,2015,local used,automatic,"₦ 9,500,000"
Ford Explorer Sport 4dr 4x4 (3.5L 6cyl 6A) 2017 Black,Ford,Explorer Sport,2017,foreign used,automatic,"₦ 17,000,000"
Ford Edge Titanium 4dr SUV (2.0L 4cyl Turbo 6A) 2015 White,Ford,Edge Titanium,2015,foreign used,automatic,"₦ 15,000,000"
Mercedes-Benz GLE-Class AMG GLE 53 AWD 2025 Gray,Mercedes-Benz,GLE-Class AMG,2025,foreign used,automatic,"₦ 185,000,000"
Toyota Corolla 2010 Red,Toyota,Corolla,2010,local used,automatic,"₦ 8,700,000"
Honda Accord 2000 Red,Honda,Accord,2000,local used,automatic,"₦ 2,650,000"
Mercedes-Benz GLK-Class 2012 Silver,Mercedes-Benz,GLK-Class,2012,foreign used,automatic,"₦ 13,500,000"
Lexus GX 2008 Black,Lexus,GX,2008,local used,automatic,"₦ 8,800,000"
Lexus RX 350 AWD 2018 Red,Lexus,RX 350,2018,local used,automatic,"₦ 32,500,000"
Kia Mohave 2013 Gray,Kia,Mohave,2013,local used,automatic,"₦ 6,000,000"
Mercedes-Benz M Class 2014 White,Mercedes-Benz,M Class,2014,local used,automatic,"₦ 13,000,000"
New Toyota Land Cruiser Prado 2025 Gray,New,Toyota Land,2025,brand new,automatic,"₦ 133,500,000"
Mercedes-Benz G-Class G 63 AMG 4MATIC 2016 Black,Mercedes-Benz,G-Class G,2016,local used,automatic,"₦ 69,850,000"
Mercedes-Benz CLA-Class CLA 180 d Sedan 2019 Gray,Mercedes-Benz,CLA-Class CLA,2019,foreign used,automatic,"₦ 24,000,000"
Toyota Highlander Sport 2010 Gray,Toyota,Highlander Sport,2010,local used,automatic,"₦ 10,800,000"
Toyota Venza V6 AWD 2011 White,Toyota,Venza V6,2011,foreign used,automatic,"₦ 21,000,000"
Toyota Camry 2009 Red,Toyota,Camry,2009,foreign used,automatic,"₦ 9,100,000"
Toyota Sienna CE AWD 2006 Gold,Toyota,Sienna CE,2006,foreign used,automatic,"₦ 9,750,000"
Honda Accord 2003 Gray,Honda,Accord,2003,local used,automatic,"₦ 2,500,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2015 Gray,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 24,500,000"
New Tesla Cybertruck 2025 Black,New,Tesla Cybertruck,2025,brand new,automatic,"₦ 340,000,000"
Honda Accord 2017 Black,Honda,Accord,2017,local used,automatic,"₦ 12,700,000"
Toyota Highlander 2006 Blue,Toyota,Highlander,2006,local used,automatic,"₦ 7,300,000"
Toyota Corolla LE 2020 Silver,Toyota,Corolla LE,2020,foreign used,automatic,"₦ 22,500,000"
Toyota Corolla S Premium 4dr Sedan (1.8L 4cyl CVT) 2015 White,Toyota,Corolla S,2015,local used,automatic,"₦ 12,000,000"
Toyota Corolla LE 2020 Blue,Toyota,Corolla LE,2020,foreign used,,"₦ 19,500,000"
Lexus RX 2012 Black,Lexus,RX,2012,local used,automatic,"₦ 14,000,000"
Mercedes-Benz GLE-Class GLE 350 2018 Gray,Mercedes-Benz,GLE-Class GLE,2018,foreign used,automatic,"₦ 45,000,000"
Kia Picanto 2016 Gray,Kia,Picanto,2016,foreign used,automatic,"₦ 11,000,000"
Mercedes-Benz GLE-Class GLE 350 2016 White,Mercedes-Benz,GLE-Class GLE,2016,local used,automatic,"₦ 27,000,000"
Honda Accord EX-L w/Navigation 4dr Sedan (2.4L 4cyl CVT) 2015 Gray,Honda,Accord EX-L,2015,local used,automatic,"₦ 7,850,000"
Hyundai Sonata 2015 Silver,Hyundai,Sonata,2015,foreign used,automatic,"₦ 16,500,000"
Lexus ES 350 2008 Gray,Lexus,ES 350,2008,foreign used,automatic,"₦ 10,600,000"
Dodge Charger SXT 2012 Black,Dodge,Charger SXT,2012,foreign used,automatic,"₦ 10,200,000"
Toyota Corolla SE 2021 Gray,Toyota,Corolla SE,2021,foreign used,automatic,"₦ 26,500,000"
Mercedes-Benz E350 Base 4Matic Coupe AWD (3.5L 6cyl 7A) 2014 Black,Mercedes-Benz,E350 Base,2014,foreign used,automatic,"₦ 38,000,000"
New Mercedes-Benz G-Class G63 AMG Brabus G700 2025 Black,New,Mercedes-Benz G-Class,2025,brand new,automatic,"₦ 680,000,000"
Mercedes-Benz GLE-Class GLE 400 4MATIC 2017 Black,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 39,000,000"
Toyota Corolla 2009 Blue,Toyota,Corolla,2009,local used,automatic,"₦ 6,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2005 Red,Toyota,Camry LE,2005,foreign used,automatic,"₦ 8,500,000"
Lexus ES 350 2009 Gray,Lexus,ES 350,2009,local used,automatic,"₦ 5,000,000"
Toyota Venza 2011 White,Toyota,Venza,2011,local used,automatic,"₦ 12,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4 cyl 4A) 2009 Green,Toyota,Corolla LE,2009,local used,automatic,"₦ 6,400,000"
Toyota Corolla LE Premium 4dr Sedan (1.8L 4cyl CVT) 2016 White,Toyota,Corolla LE,2016,local used,automatic,"₦ 9,999,999"
Mercedes-Benz GLE-Class GLE 350 2017 Black,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 30,000,000"
Honda CR-V LX 4dr SUV AWD (2.4L 4cyl 5A) 2013 Silver,Honda,CR-V LX,2013,local used,automatic,"₦ 11,650,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2017 White,Toyota,Highlander XLE,2017,foreign used,automatic,"₦ 29,500,000"
Lexus RX 2017 Gray,Lexus,RX,2017,foreign used,automatic,"₦ 35,500,000"
Mercedes-Benz GLS-Class GLS 450 4MATIC AWD 2023 White,Mercedes-Benz,GLS-Class GLS,2023,foreign used,automatic,"₦ 189,500,000"
Toyota Highlander 2005 Blue,Toyota,Highlander,2005,local used,automatic,"₦ 6,850,000"
Lexus RX 350 AWD 2008 Black,Lexus,RX 350,2008,local used,automatic,"₦ 8,500,000"
Ford Edge Sport 4dr SUV (2.7L 6cyl Turbo 6A) 2015 Gray,Ford,Edge Sport,2015,foreign used,automatic,"₦ 14,500,000"
BMW X2 2022 White,BMW,X2,2022,foreign used,automatic,"₦ 58,000,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 32,000,000"
Toyota Sienna CE 7 Passenger 2010 Blue,Toyota,Sienna CE,2010,foreign used,automatic,"₦ 900,000"
Toyota Highlander XLE 4dr SUV AWD (3.5L 6cyl 6A) 2015 Blue,Toyota,Highlander XLE,2015,local used,automatic,"₦ 21,950,000"
Toyota RAV4 Limited 2021 Black,Toyota,RAV4 Limited,2021,foreign used,automatic,"₦ 38,500,000"
Lexus RX 350 2011 Gray,Lexus,RX 350,2011,foreign used,automatic,"₦ 23,500,000"
Acura MDX 3.5L 4x4 2003 Green,Acura,MDX 3,2003,local used,automatic,"₦ 2,900,000"
Hyundai Sonata 2013 Silver,Hyundai,Sonata,2013,foreign used,automatic,"₦ 10,500,000"
Mercedes-Benz GLE-Class 2017 White,Mercedes-Benz,GLE-Class,2017,local used,automatic,"₦ 25,500,000"
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015,local used,automatic,"₦ 11,500,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 38,000,000"
Toyota Corolla S Premium 4dr Sedan (1.8L 4cyl CVT) 2015 Blue,Toyota,Corolla S,2015,local used,automatic,"₦ 13,000,000"
Kia Sportage 2012 Gray,Kia,Sportage,2012,local used,automatic,"₦ 9,500,000"
Toyota Highlander Limited 4x4 V6 (3.5L 6cyl 8A) 2017 Black,Toyota,Highlander Limited,2017,foreign used,automatic,"₦ 34,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Silver,Toyota,Corolla LE,2010,foreign used,automatic,"₦ 10,400,000"
Hyundai Palisade 2020 Gray,Hyundai,Palisade,2020,local used,automatic,"₦ 39,999,999"
Honda Ridgeline Black Edition AWD Crew Cab 125.2 in. WB 2017 Black,Honda,Ridgeline Black,2017,foreign used,automatic,"₦ 27,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2017 Black,Toyota,Camry SE,2017,foreign used,automatic,"₦ 16,500,000"
Peugeot 206 2004 Silver,Peugeot,206,2004,local used,automatic,"₦ 2,300,000"
Toyota Camry XSE (2.5L 4cyl 8A) 2019 Black,Toyota,Camry XSE,2019,local used,automatic,"₦ 23,000,000"
Mercedes-Benz GLA 250 2017,Mercedes-Benz,GLA 250,2017,foreign used,automatic,"₦ 19,500,000"
Toyota Camry LE 4dr Sedan (2.2L 4cyl 4A) 2000 Silver,Toyota,Camry LE,2000,foreign used,automatic,"₦ 6,500,000"
Toyota Corolla 2009 Black,Toyota,Corolla,2009,local used,automatic,"₦ 6,600,000"
Mercedes-Benz GLC-Class 2017 Blue,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 29,000,000"
Toyota Highlander SE 2011 Silver,Toyota,Highlander SE,2011,local used,automatic,"₦ 11,800,000"
Lexus RX 350 2011 Black,Lexus,RX 350,2011,local used,automatic,"₦ 13,500,000"
Mercedes-Benz M Class 2014 Gray,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 26,000,000"
Honda Accord 2013 Black,Honda,Accord,2013,foreign used,automatic,"₦ 11,500,000"
Toyota Yaris 2004 Silver,Toyota,Yaris,2004,local used,automatic,"₦ 4,400,000"
Toyota Tundra 2022 Gray,Toyota,Tundra,2022,foreign used,automatic,"₦ 148,078,125"
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2010 Gray,Toyota,Corolla S,2010,local used,automatic,"₦ 6,000,000"
Toyota Highlander 2012 Black,Toyota,Highlander,2012,local used,automatic,"₦ 12,000,000"
Toyota Camry 2015 Black,Toyota,Camry,2015,local used,automatic,"₦ 10,200,000"
Toyota Camry 2014 Black,Toyota,Camry,2014,local used,automatic,"₦ 9,000,000"
Toyota 4-Runner 2001 Black,Toyota,4-Runner,2001,local used,automatic,"₦ 2,550,000"
Honda CR-V 2.0 Automatic 1998 Black,Honda,CR-V 2,1998,local used,automatic,"₦ 3,850,000"
Hyundai Sonata 3.3 LX 2006 Black,Hyundai,Sonata 3,2006,local used,automatic,"₦ 3,200,000"
Hyundai Elantra 2013 Gray,Hyundai,Elantra,2013,foreign used,automatic,"₦ 11,500,000"
Toyota Highlander 2006 Black,Toyota,Highlander,2006,local used,automatic,"₦ 6,650,000"
Honda Crosstour 2015 White,Honda,Crosstour,2015,local used,automatic,"₦ 10,300,000"
Lexus RX 2015 Gold,Lexus,RX,2015,local used,automatic,"₦ 16,500,000"
Land Rover Range Rover Sport 2014,Land,Rover Range,2014,local used,automatic,"₦ 48,500,000"
Toyota Sienna 2014,Toyota,Sienna,2014,foreign used,automatic,"₦ 14,000,000"
Mercedes-Benz G-Class G 63 AMG 4MATIC 2016 Gray,Mercedes-Benz,G-Class G,2016,foreign used,automatic,"₦ 135,000,000"
Lexus LX 570 AWD 2014 Black,Lexus,LX 570,2014,local used,automatic,"₦ 49,000,000"
Lexus NX 2017 White,Lexus,NX,2017,foreign used,automatic,"₦ 40,000,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 Brown,Toyota,Camry SE,2019,local used,automatic,"₦ 23,000,000"
Mercedes-Benz GLE-Class GLE 350 2016 Red,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 28,800,000"
Toyota Sienna 2014 Burgundy,Toyota,Sienna,2014,foreign used,automatic,"₦ 18,700,000"
Toyota RAV4 XLE AWD (2.5L 4cyl 6A) 2017 Burgundy,Toyota,RAV4 XLE,2017,foreign used,automatic,"₦ 23,550,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Gray,Mercedes-Benz,GLE-Class GLE,2020,local used,automatic,"₦ 54,550,000"
Lexus NX 200t AWD 2016,Lexus,NX 200t,2016,foreign used,automatic,"₦ 31,000,000"
Lexus ES 350 2009 Black,Lexus,ES 350,2009,local used,automatic,"₦ 4,900,000"
Lexus RX 350 2010 Black,Lexus,RX 350,2010,foreign used,automatic,"₦ 19,400,000"
Toyota Highlander XSE AWD 2023 Blue,Toyota,Highlander XSE,2023,foreign used,automatic,"₦ 63,500,000"
Toyota Avalon XLE Touring Sedan FWD (3.5L 6cyl 6A) 2013 Black,Toyota,Avalon XLE,2013,local used,automatic,"₦ 12,500,000"
Toyota RAV4 Limited FWD (2.5L 4cyl 6A) 2017 Red,Toyota,RAV4 Limited,2017,foreign used,automatic,"₦ 25,000,000"
New Lexus GX 2025 Ivory,New,Lexus GX,2025,brand new,automatic,"₦ 240,000,000"
Lexus ES 350 2008 Burgundy,Lexus,ES 350,2008,foreign used,automatic,"₦ 11,000,000"
Toyota Venza V6 AWD 2010 Brown,Toyota,Venza V6,2010,foreign used,automatic,"₦ 17,500,000"
Lexus RX 2009 Blue,Lexus,RX,2009,local used,automatic,"₦ 8,000,000"
Toyota Mirai 2016 White,Toyota,Mirai,2016,foreign used,automatic,"₦ 19,000,000"
Lexus GX 460 Luxury 2014 White,Lexus,GX 460,2014,local used,automatic,"₦ 37,200,000"
Toyota Highlander Limited Platinum 2019 White,Toyota,Highlander Limited,2019,foreign used,automatic,"₦ 43,500,000"
Toyota Fortuner 2.4 D AWD 2015 Black,Toyota,Fortuner 2,2015,local used,automatic,"₦ 18,500,000"
Honda Civic 2012 Gray,Honda,Civic,2012,local used,automatic,"₦ 5,850,000"
Lexus RX 350 F SPORT Appearance FWD 2022 Black,Lexus,RX 350,2022,foreign used,automatic,"₦ 120,000,000"
Ford Explorer Limited 4x4 2020 Black,Ford,Explorer Limited,2020,local used,automatic,"₦ 35,000,000"
Volvo XC90 2011 Brown,Volvo,XC90,2011,local used,automatic,"₦ 7,000,000"
Hyundai Sonata 2016 Black,Hyundai,Sonata,2016,foreign used,automatic,"₦ 14,200,000"
Toyota RAV4 2006 Red,Toyota,RAV4,2006,local used,automatic,"₦ 7,500,000"
New Car 2024 White,New,Car,2024,brand new,automatic,"₦ 14,500,000"
New Car 2024 White,New,Car,2024,brand new,automatic,"₦ 12,500,000"
BMW 328i 2012 Black,BMW,328i,2012,local used,automatic,"₦ 9,000,000"
Ford Edge 2021 Black,Ford,Edge,2021,local used,automatic,"₦ 30,000,000"
Acura ZDX Base AWD 2011 Gray,Acura,ZDX Base,2011,local used,automatic,"₦ 10,500,000"
Mercedes-Benz GL-Class GL450 4MATIC 4dr SUV AWD (4.7L 8cyl Turbo 7A),,,,foreign used,automatic,"₦ 25,000,000"
BMW 328i 2012 White,BMW,328i,2012,local used,automatic,"₦ 8,300,000"
Lexus GX 470 Sport Utility 2005 Black,Lexus,GX 470,2005,local used,automatic,"₦ 7,000,000"
Mercedes-Benz M Class ML350 4dr SUV (3.5L 6cyl 7A) 2015 Brown,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 24,500,000"
Lexus RX 2005,Lexus,RX,2005,local used,automatic,"₦ 6,650,000"
Toyota RAV4 2.5 Limited 4x4 2011 Red,Toyota,RAV4 2,2011,foreign used,automatic,"₦ 11,700,000"
Toyota Highlander 2007 Blue,Toyota,Highlander,2007,local used,automatic,"₦ 4,400,000"
Toyota Camry 2004 Red,Toyota,Camry,2004,local used,automatic,"₦ 2,800,000"
Honda Accord 2022 Gray,Honda,Accord,2022,foreign used,automatic,"₦ 41,500,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6AM) 2010 Silver,Toyota,Camry XLE,2010,foreign used,automatic,"₦ 11,000,000"
Toyota Venza Limited 2011 Brown,Toyota,Venza Limited,2011,local used,automatic,"₦ 10,500,000"
Lexus RX 2013 Black,Lexus,RX,2013,foreign used,automatic,"₦ 25,500,000"
Toyota Avalon 1998 Gray,Toyota,Avalon,1998,local used,automatic,"₦ 3,500,000"
Toyota Camry 2014 Black,Toyota,Camry,2014,foreign used,automatic,"₦ 13,000,000"
Toyota Highlander 2013 Blue,Toyota,Highlander,2013,local used,automatic,"₦ 12,350,000"
Toyota Corolla LE 4dr Sedan (1.8L 4 cyl 4A) 2009 Blue,Toyota,Corolla LE,2009,local used,automatic,"₦ 8,000,000"
Rolls-Royce Wraith 6.6 RWD 2018 Black,Rolls-Royce,Wraith 6,2018,local used,automatic,"₦ 400,000,000"
Honda Accord 2007 Black,Honda,Accord,2007,local used,automatic,"₦ 3,500,000"
Land Rover Range Rover Vogue 2023 Gray,Land,Rover Range,2023,foreign used,automatic,"₦ 250,000,000"
Honda Accord 3.5 EX Automatic 2008 Gray,Honda,Accord 3,2008,local used,automatic,"₦ 4,500,000"
Ford Mustang GT Premium Coupe 2008,Ford,Mustang GT,2008,local used,automatic,"₦ 10,100,000"
Hyundai Sonata 2019 Gray,Hyundai,Sonata,2019,foreign used,automatic,"₦ 16,000,000"
Toyota Highlander Limited 2009 Gold,Toyota,Highlander Limited,2009,local used,automatic,"₦ 9,800,000"
Toyota Sienna LE 8 Passenger 2010 Blue,Toyota,Sienna LE,2010,foreign used,automatic,"₦ 9,850,000"
Toyota Corolla SE Special Edition 4dr Sedan (1.8L 4cyl CVT) 2017 Black,Toyota,Corolla SE,2017,foreign used,automatic,"₦ 18,000,000"
Scion xB Base 2009 Silver,Scion,xB Base,2009,foreign used,automatic,"₦ 7,700,000"
Toyota Venza XLE AWD 2013 Silver,Toyota,Venza XLE,2013,foreign used,automatic,"₦ 18,000,000"
Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2012 Blue,Hyundai,Sonata Limited,2012,foreign used,automatic,"₦ 10,500,000"
Mazda CX-9 2008 White,Mazda,CX-9,2008,local used,automatic,"₦ 5,116,287"
Hyundai Sonata Sport Sedan FWD (2.4L 4cyl 6A) 2016 Silver,Hyundai,Sonata Sport,2016,foreign used,automatic,"₦ 13,000,000"
Land Rover Range Rover Sport 2013 Silver,Land,Rover Range,2013,local used,automatic,"₦ 7,500,000"
Toyota Highlander Limited 4x4 V6 (3.5L 6cyl 8A) 2018 White,Toyota,Highlander Limited,2018,foreign used,automatic,"₦ 32,500,000"
Toyota Highlander XLE AWD 2020 Black,Toyota,Highlander XLE,2020,foreign used,automatic,"₦ 49,500,000"
Toyota C-HR Limited FWD 2019 Black,Toyota,C-HR Limited,2019,foreign used,automatic,"₦ 25,000,000"
Lexus LX 2023 Black,Lexus,LX,2023,local used,automatic,"₦ 30,000,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2008 Blue,Toyota,Camry SE,2008,foreign used,automatic,"₦ 8,800,000"
Toyota Corolla 2010 Gray,Toyota,Corolla,2010,local used,automatic,"₦ 7,087,500"
Mercedes-Benz GLK-Class 2013 Gray,Mercedes-Benz,GLK-Class,2013,foreign used,automatic,"₦ 15,000,000"
Toyota Yaris 2017 Black,Toyota,Yaris,2017,foreign used,automatic,"₦ 14,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Black,Mercedes-Benz,GLK-Class 350,2010,local used,automatic,"₦ 16,000,000"
Hyundai Santa Fe Sport 2.0T 2013 Silver,Hyundai,Santa Fe,2013,foreign used,automatic,"₦ 17,500,000"
Toyota Camry 2005 Gold,Toyota,Camry,2005,local used,automatic,"₦ 4,200,000"
Honda Accord 2007 Blue,Honda,Accord,2007,local used,automatic,"₦ 3,850,000"
Ford Edge 2008 Black,Ford,Edge,2008,local used,automatic,"₦ 6,500,000"
Subaru Legacy 2.5i 2011 Black,Subaru,Legacy 2,2011,local used,,"₦ 9,500,000"
Toyota RAV4 LE AWD (2.5L 4cyl 6A) 2013 Green,Toyota,RAV4 LE,2013,local used,automatic,"₦ 13,800,000"
Toyota Corolla LE 2005 Gray,Toyota,Corolla LE,2005,local used,automatic,"₦ 5,500,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6AM) 2007 Gold,Toyota,Camry XLE,2007,local used,automatic,"₦ 4,200,000"
Lexus RX 350 F Sport AWD 2015 Silver,Lexus,RX 350,2015,foreign used,automatic,"₦ 30,000,000"
Mercedes-Benz GLC-Class 2017 Black,Mercedes-Benz,GLC-Class,2017,local used,automatic,"₦ 51,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Gray,Toyota,Camry LE,2010,local used,automatic,"₦ 7,500,000"
Toyota RAV4 2004 Silver,Toyota,RAV4,2004,local used,automatic,"₦ 3,500,000"
Toyota Camry 2004 Gold,Toyota,Camry,2004,local used,automatic,"₦ 3,600,000"
Ford Edge SE 4dr FWD (3.5L 6cyl 6A) 2008 Gray,Ford,Edge SE,2008,local used,automatic,"₦ 4,200,000"
Mercedes-Benz R-Class R 350 4MATIC AWD 2012 Black,Mercedes-Benz,R-Class R,2012,local used,automatic,"₦ 6,570,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 13,500,000"
Acura MDX Sport Package AWD (3.7L 6cyl 5A) 2009 Silver,Acura,MDX Sport,2009,local used,automatic,"₦ 4,000,000"
Toyota Camry 2010,Toyota,Camry,2010,local used,automatic,"₦ 8,000,000"
Toyota Corolla 2018,Toyota,Corolla,2018,foreign used,,"₦ 15,000,000"
Toyota Camry 2017 Gray,Toyota,Camry,2017,local used,automatic,"₦ 13,000,000"
Toyota RAV4 2010 Black,Toyota,RAV4,2010,local used,automatic,"₦ 8,500,000"
Toyota Camry 2007,Toyota,Camry,2007,local used,automatic,"₦ 5,000,000"
Honda Accord Sport 4dr Sedan (2.4L 4cyl CVT) 2014 Silver,Honda,Accord Sport,2014,foreign used,automatic,"₦ 13,500,000"
Honda Accord 2005 Blue,Honda,Accord,2005,local used,automatic,"₦ 2,800,000"
Toyota Camry 2013 White,Toyota,Camry,2013,local used,automatic,"₦ 13,000,000"
Toyota Venza 2010 Silver,Toyota,Venza,2010,local used,automatic,"₦ 11,542,500"
Toyota Venza XLE 4dr Wagon (3.5L 6cyl 6A) 2015 White,Toyota,Venza XLE,2015,foreign used,automatic,"₦ 20,000,000"
Honda Accord 2.4 EX 2009 Black,Honda,Accord 2,2009,local used,automatic,"₦ 5,500,000"
Toyota RAV4 2020 Black,Toyota,RAV4,2020,foreign used,automatic,"₦ 34,000,000"
BMW 325i 2004 Blue,BMW,325i,2004,local used,automatic,"₦ 4,200,000"
Toyota RAV4 2018 Silver,Toyota,RAV4,2018,foreign used,automatic,"₦ 25,000,000"
Mercedes-Benz GLC-Class 2017 Black,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 27,000,000"
Rover Land 2015 Beige,Rover,Land,2015,local used,automatic,"₦ 28,000,000"
Toyota Corolla 2004 Red,Toyota,Corolla,2004,foreign used,automatic,"₦ 5,062,500"
Toyota Corolla LE 2006 Red,Toyota,Corolla LE,2006,foreign used,automatic,"₦ 7,900,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6AM) 2009 Silver,Toyota,Camry XLE,2009,local used,automatic,"₦ 7,300,000"
Mazda CX-7 2007 White,Mazda,CX-7,2007,foreign used,manual,"₦ 8,226,562"
Toyota Highlander 2012 Silver,Toyota,Highlander,2012,local used,automatic,"₦ 12,500,000"
Lexus ES 350 2009 Gray,Lexus,ES 350,2009,local used,automatic,"₦ 6,500,000"
New Changan X7 Plus 2025 Gray,New,Changan X7,2025,brand new,automatic,"₦ 43,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2006 Gold,Toyota,Camry LE,2006,local used,automatic,"₦ 4,200,000"
Toyota Corolla 2008 Black,Toyota,Corolla,2008,local used,automatic,"₦ 9,000,000"
Lexus GX 2015 Black,Lexus,GX,2015,local used,automatic,"₦ 33,000,000"
Toyota Land Cruiser 2023 Black,Toyota,Land Cruiser,2023,local used,automatic,"₦ 45,800,000"
Lexus ES 2007 Black,Lexus,ES,2007,local used,automatic,"₦ 7,800,000"
Lexus RX 300 2000 Gold,Lexus,RX 300,2000,local used,automatic,"₦ 4,800,000"
Hyundai Santa Fe 2004 Silver,Hyundai,Santa Fe,2004,local used,automatic,"₦ 3,850,000"
Lexus LX 470 AWD 2003 Black,Lexus,LX 470,2003,local used,automatic,"₦ 9,350,000"
New BYD Song Plus 2025 Black,New,BYD Song,2025,brand new,automatic,"₦ 73,000,000"
Lexus RX 2013 Black,Lexus,RX,2013,foreign used,,"₦ 32,906,250"
Toyota Hilux 2010 White,Toyota,Hilux,2010,local used,manual,"₦ 18,900,000"
Toyota Corolla 2005 Green,Toyota,Corolla,2005,local used,automatic,"₦ 5,600,000"
Toyota Camry 2018 Black,Toyota,Camry,2018,local used,automatic,"₦ 26,000,000"
Toyota Venza 2012 Black,Toyota,Venza,2012,foreign used,automatic,"₦ 21,000,000"
Toyota Corolla 2010 Gray,Toyota,Corolla,2010,local used,automatic,"₦ 6,900,000"
Toyota Venza 2012 Red,Toyota,Venza,2012,local used,automatic,"₦ 14,000,000"
Honda Accord 2.4 Automatic 2003 Black,Honda,Accord 2,2003,local used,automatic,"₦ 3,450,000"
Toyota Camry L 4dr Sedan (2.5L 4cyl 6A) 2012 Black,Toyota,Camry L,2012,local used,automatic,"₦ 9,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Gray,Toyota,Camry SE,2014,foreign used,automatic,"₦ 13,200,000"
Lexus NX 2018 Gray,Lexus,NX,2018,foreign used,automatic,"₦ 40,500,000"
Lexus RX 350 2010 White,Lexus,RX 350,2010,foreign used,automatic,"₦ 21,000,000"
Lexus ES 350 FWD 2014 Black,Lexus,ES 350,2014,foreign used,automatic,"₦ 23,800,000"
Toyota Land Cruiser Prado 4.0 Petrol GX-R 2014 Black,Toyota,Land Cruiser,2014,foreign used,automatic,"₦ 59,500,000"
Toyota Land Cruiser 4.6 V8 VX-R 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 44,000,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (2.0L 4cyll 7A) 2016 Blue,Mercedes-Benz,C300 Sport,2016,foreign used,automatic,"₦ 26,000,100"
Lexus RX 350 AWD 2013 White,Lexus,RX 350,2013,foreign used,automatic,"₦ 25,500,000"
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 White,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 34,000,000"
Lexus GX 460 Luxury 2018 Black,Lexus,GX 460,2018,foreign used,automatic,"₦ 55,000,000"
Lexus LX 570 AWD 2018 Gray,Lexus,LX 570,2018,foreign used,automatic,"₦ 125,000,000"
Lexus GX 460 Base 2014 Gray,Lexus,GX 460,2014,local used,automatic,"₦ 34,000,000"
Toyota Matrix L Hatchback FWD (1.8L 4cyl 5A) 2013 Blue,Toyota,Matrix L,2013,local used,automatic,"₦ 8,500,000"
Mercedes-Benz GL-Class GL 450 2009 Black,Mercedes-Benz,GL-Class GL,2009,foreign used,automatic,"₦ 13,500,000"
