title,make,model,year,condition,transmission,price
Ford Explorer Limited 4dr 4x2 (4.0L 6cyl 5A) 2010 Gold,Ford,Explorer Limited,2010,local used,automatic,"₦ 5,700,000"
Hyundai Elantra 2016 Blue,Hyundai,Elantra,2016,foreign used,automatic,"₦ 15,000,000"
Mercedes-Benz M Class ML 550 4Matic 2012 Black,Mercedes-Benz,M Class,2012,foreign used,automatic,"₦ 26,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Black,Toyota,Camry SE,2014,foreign used,automatic,"₦ 13,500,000"
Lexus GX 460 Premium 2013 Silver,Lexus,GX 460,2013,foreign used,automatic,"₦ 33,000,000"
Toyota Camry 2008 Silver,Toyota,Camry,2008,local used,automatic,"₦ 6,500,000"
Lexus RX 350 AWD 2016 Gray,Lexus,RX 350,2016,foreign used,automatic,"₦ 40,000,000"
Toyota Camry XLE V6 FWD (3.5L 6cyl 8AM) 2018 Silver,Toyota,Camry XLE,2018,foreign used,automatic,"₦ 29,000,000"
Honda Accord 2014 Gold,Honda,Accord,2014,foreign used,automatic,"₦ 13,900,000"
Hyundai Santa Fe 2009 Black,Hyundai,Santa Fe,2009,local used,automatic,"₦ 4,800,000"
Mercedes-Benz M Class 2015 White,Mercedes-Benz,M Class,2015,local used,automatic,"₦ 17,500,000"
Toyota Camry 2011 Gray,Toyota,Camry,2011,local used,automatic,"₦ 5,600,000"
Toyota Hilux 2019 White,Toyota,Hilux,2019,local used,automatic,"₦ 39,000,000"
Honda CR-V 2014 White,Honda,CR-V,2014,local used,automatic,"₦ 8,700,000"
Toyota Highlander Limited 4dr SUV AWD (3.5L 6cyl 6A) 2015 Silver,Toyota,Highlander Limited,2015,foreign used,automatic,"₦ 28,000,000"
Honda Crosstour 3.5 AWD 2010 White,Honda,Crosstour 3,2010,local used,automatic,"₦ 5,500,000"
Lexus RX 2013 White,Lexus,RX,2013,local used,automatic,"₦ 15,100,000"
Honda Ridgeline RT 4x4 Crew Cab 122 in. WB 2007 Black,Honda,Ridgeline RT,2007,local used,automatic,"₦ 5,000,000"
Land Rover Range Rover Sport 2014 Gray,Land,Rover Range,2014,foreign used,automatic,"₦ 34,500,000"
Toyota Yaris 1.5 Sedan XLE 2020 White,Toyota,Yaris 1,2020,foreign used,automatic,"₦ 19,500,000"
Lexus ES 2004 Silver,Lexus,ES,2004,local used,automatic,"₦ 5,000,000"
Toyota Sequoia Limited 4dr SUV 4WD (4.7L 8cyl 4A) 2002 Gray,Toyota,Sequoia Limited,2002,local used,automatic,"₦ 6,000,000"
Lexus LX 570 AWD 2018 Black,Lexus,LX 570,2018,foreign used,automatic,"₦ 118,000,000"
Toyota Sienna LE 8 Passenger 2011 Gold,Toyota,Sienna LE,2011,foreign used,automatic,"₦ 14,000,000"
Mercedes-Benz C300 2011 White,Mercedes-Benz,C300,2011,local used,automatic,"₦ 6,500,000"
Mazda 3 2016 Gray,Mazda,3,2016,local used,automatic,"₦ 8,799,000"
Lexus RX 2011 Silver,Lexus,RX,2011,foreign used,automatic,"₦ 19,500,000"
Acura TL 2010 Gray,Acura,TL,2010,local used,automatic,"₦ 5,500,000"
Mercedes-Benz GLE-Class 2016 White,Mercedes-Benz,GLE-Class,2016,foreign used,automatic,"₦ 29,500,000"
Hyundai Sonata 2012 Gray,Hyundai,Sonata,2012,foreign used,automatic,"₦ 12,000,000"
Mercedes-Benz S-Class S 550 4MATIC 2015 Black,Mercedes-Benz,S-Class S,2015,foreign used,automatic,"₦ 53,850,000"
New Ferrari 488 GTB 2025 Red,New,Ferrari 488,2025,brand new,automatic,"₦ 1,400,000,000"
New Toyota Land Cruiser 1958 4WD 2026 Black,New,Toyota Land,1958,brand new,automatic,"₦ 213,000,000"
Toyota Matrix 2004 Blue,Toyota,Matrix,2004,local used,automatic,"₦ 3,000,000"
Toyota Camry 2019 Silver,Toyota,Camry,2019,foreign used,automatic,"₦ 22,500,000"
Honda Accord 1998 Green,Honda,Accord,1998,local used,automatic,"₦ 2,600,000"
Mercedes-Benz GLC-Class 2017 White,Mercedes-Benz,GLC-Class,2017,local used,automatic,"₦ 18,800,000"
Toyota Corolla Sedan Automatic 2004 Black,Toyota,Corolla Sedan,2004,foreign used,automatic,"₦ 6,500,000"
Toyota Sienna 2008 Blue,Toyota,Sienna,2008,local used,automatic,"₦ 5,200,000"
Toyota Venza 2012 Black,Toyota,Venza,2012,local used,automatic,"₦ 10,600,000"
Honda Civic 2012 Black,Honda,Civic,2012,local used,automatic,"₦ 5,600,000"
Honda Accord 2008 Red,Honda,Accord,2008,local used,automatic,"₦ 4,500,000"
Mercedes-Benz Brabus G 800 2010 White,Mercedes-Benz,Brabus G,2010,local used,automatic,"₦ 29,000,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2014 Silver,Toyota,Camry XLE,2014,foreign used,automatic,"₦ 15,500,000"
Toyota RAV4 XLE AWD (2.5L 4cyl 6A) 2016 Orange,Toyota,RAV4 XLE,2016,foreign used,automatic,"₦ 19,800,000"
Lexus RX 2008 Black,Lexus,RX,2008,local used,automatic,"₦ 8,200,000"
Lexus LX 570 (5 seats) AWD 2017 White,Lexus,LX 570,2017,local used,automatic,"₦ 70,000,000"
Lexus LX 570 (5 seats) AWD 2015 Black,Lexus,LX 570,2015,local used,automatic,"₦ 89,000,000"
Mercedes-Benz M Class ML 350 4Matic 2013 White,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 21,850,000"
Toyota Corolla 2005 Silver,Toyota,Corolla,2005,local used,automatic,"₦ 4,450,000"
Toyota Venza XLE 2021 Red,Toyota,Venza XLE,2021,foreign used,automatic,"₦ 55,000,000"
Toyota Corolla 1.4 D Automatic 2004 Blue,Toyota,Corolla 1,2004,local used,automatic,"₦ 3,550,000"
Honda Pilot 2005 Silver,Honda,Pilot,2005,local used,automatic,"₦ 3,200,000"
Hyundai Sonata 2012 Black,Hyundai,Sonata,2012,local used,automatic,"₦ 6,700,000"
Toyota Avalon XLE Sedar FWD (3.5L 6cyl 6A) 2013 Silver,Toyota,Avalon XLE,2013,foreign used,automatic,"₦ 20,000,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 12,500,000"
Acura MDX 2008 Black,Acura,MDX,2008,local used,automatic,"₦ 6,600,000"
Toyota Tacoma 2015 White,Toyota,Tacoma,2015,local used,automatic,"₦ 22,900,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Gray,Toyota,Highlander XLE,2018,foreign used,automatic,"₦ 32,850,000"
BMW X6 2009 Black,BMW,X6,2009,local used,automatic,"₦ 11,500,000"
Toyota Camry 2015 Blue,Toyota,Camry,2015,foreign used,automatic,"₦ 22,781,250"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 Gold,Mercedes-Benz,GLE-Class AMG,2021,foreign used,automatic,"₦ 125,000,000"
Mercedes-Benz GLC-Class 2016 White,Mercedes-Benz,GLC-Class,2016,local used,automatic,"₦ 22,500,000"
Toyota Corolla 2014 Black,Toyota,Corolla,2014,foreign used,automatic,"₦ 19,617,187"
Toyota Corolla 2009 Black,Toyota,Corolla,2009,local used,automatic,"₦ 6,200,000"
Kia Sportage 2013 Gray,Kia,Sportage,2013,local used,automatic,"₦ 6,600,000"
Mercedes-Benz M Class 2013 Gold,Mercedes-Benz,M Class,2013,local used,automatic,"₦ 13,800,000"
Peugeot 207 2013 Gray,Peugeot,207,2013,foreign used,automatic,"₦ 8,500,000"
Toyota RAV4 XLE AWD 2024 Gray,Toyota,RAV4 XLE,2024,foreign used,automatic,"₦ 63,500,000"
Toyota RAV4 2015 Gray,Toyota,RAV4,2015,foreign used,automatic,"₦ 17,200,000"
Toyota Venza 2012 White,Toyota,Venza,2012,local used,automatic,"₦ 13,800,000"
Toyota Venza 2014 Silver,Toyota,Venza,2014,foreign used,automatic,"₦ 14,000,000"
Lexus ES 350 2008,Lexus,ES 350,2008,local used,automatic,"₦ 6,500,000"
Toyota Highlander 2002 Silver,Toyota,Highlander,2002,local used,automatic,"₦ 3,700,000"
Toyota Tundra 2013 Black,Toyota,Tundra,2013,foreign used,automatic,"₦ 27,000,000"
Toyota Camry 2010 Silver,Toyota,Camry,2010,local used,automatic,"₦ 4,950,000"
Toyota Highlander XSE 2022 Gray,Toyota,Highlander XSE,2022,foreign used,automatic,"₦ 60,000,000"
Lexus IS 2008 Silver,Lexus,IS,2008,local used,automatic,"₦ 6,350,000"
New Toyota Land Cruiser 2024 Black,New,Toyota Land,2024,brand new,automatic,"₦ 202,000,000"
Lexus RX 2017 Black,Lexus,RX,2017,foreign used,automatic,"₦ 43,450,000"
Ford Edge Sport 4dr AWD (2.7L 6cyl 6A) 2016 Black,Ford,Edge Sport,2016,local used,automatic,"₦ 16,000,000"
Toyota Camry LE 4dr Sedan (2.2L 4cyl 4A) 2001 Burgundy,Toyota,Camry LE,2001,local used,automatic,"₦ 2,650,000"
Toyota Highlander 2018 White,Toyota,Highlander,2018,foreign used,automatic,"₦ 28,500,000"
Lexus ES 350 2007 Silver,Lexus,ES 350,2007,foreign used,automatic,"₦ 8,500,000"
Toyota Corolla LE 2006 Black,Toyota,Corolla LE,2006,local used,automatic,"₦ 5,400,000"
Toyota Camry 2011 Red,Toyota,Camry,2011,foreign used,automatic,"₦ 11,200,000"
Toyota Highlander Limited 4x2 V6 (3.5L 6cyl 8A) 2018 Gold,Toyota,Highlander Limited,2018,foreign used,automatic,"₦ 28,500,000"
Honda Accord Sport SE 4dr Sedan FWD (2.4L 4cyl 2A) 2017 Maroon,Honda,Accord Sport,2017,foreign used,automatic,"₦ 17,500,000"
Mazda CX-7 2010 Silver,Mazda,CX-7,2010,local used,automatic,"₦ 4,000,000"
Toyota Camry 2013 White,Toyota,Camry,2013,local used,automatic,"₦ 10,500,000"
Hyundai Santa Fe 2004 Gray,Hyundai,Santa Fe,2004,local used,automatic,"₦ 3,800,000"
Toyota Sienna XLE 7 Passenger 2012 Gold,Toyota,Sienna XLE,2012,foreign used,automatic,"₦ 12,500,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,local used,automatic,"₦ 7,500,000"
Lexus ES 350 2010 Gold,Lexus,ES 350,2010,local used,automatic,"₦ 7,800,000"
Lexus ES 350 2009 Silver,Lexus,ES 350,2009,local used,automatic,"₦ 7,550,000"
Honda CR-V EX-L 4dr SUV AWD (1.5L 4cyl CVT) 2017 Blue,Honda,CR-V EX-L,2017,foreign used,automatic,"₦ 27,000,000"
New Toyota Crown Limited AWD 2024 Black,New,Toyota Crown,2024,brand new,automatic,"₦ 149,500,000"
Toyota Vios 2008 White,Toyota,Vios,2008,local used,automatic,"₦ 6,200,000"
Toyota Corolla 2003 Silver,Toyota,Corolla,2003,local used,automatic,"₦ 4,500,000"
Mercedes-Benz M Class 2015 Black,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 23,000,000"
Toyota Highlander 2014 Blue,Toyota,Highlander,2014,foreign used,automatic,"₦ 26,000,000"
Toyota RAV4 2020 Red,Toyota,RAV4,2020,foreign used,automatic,"₦ 31,000,000"
Toyota Camry 2007 Gray,Toyota,Camry,2007,local used,automatic,"₦ 8,300,000"
Lexus GX 2023 Black,Lexus,GX,2023,local used,automatic,"₦ 69,999,999"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry SE,2013,local used,automatic,"₦ 8,499,999"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Silver,Toyota,Camry LE,2008,local used,automatic,"₦ 6,600,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl CVT) 2014 Gray,Toyota,Corolla S,2014,foreign used,automatic,"₦ 14,950,000"
Toyota Corolla 2015 White,Toyota,Corolla,2015,local used,automatic,"₦ 7,800,000"
Mercedes-Benz GLC-Class 2021 Black,Mercedes-Benz,GLC-Class,2021,foreign used,automatic,"₦ 38,500,000"
Honda Accord 2008 Black,Honda,Accord,2008,local used,automatic,"₦ 4,600,000"
Toyota Corolla LE 2004 Gray,Toyota,Corolla LE,2004,local used,automatic,"₦ 4,500,000"
Toyota RAV4 Automatic 2003 Black,Toyota,RAV4 Automatic,2003,local used,automatic,"₦ 1,800,000"
Toyota Land Cruiser 2020 Black,Toyota,Land Cruiser,2020,local used,automatic,"₦ 95,900,000"
Toyota Highlander 2012 Gray,Toyota,Highlander,2012,foreign used,automatic,"₦ 19,500,000"
Honda Accord 2.2i-CTDi Sport 2008 Blue,Honda,Accord 2,2008,local used,automatic,"₦ 2,380,000"
Mercedes-Benz M Class 2014 Black,Mercedes-Benz,M Class,2014,local used,automatic,"₦ 17,800,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2016 Silver,Toyota,Camry SE,2016,foreign used,automatic,"₦ 15,999,999"
Toyota Land Cruiser 3.5 Petrol 4WD 2022 Black,Toyota,Land Cruiser,2022,local used,automatic,"₦ 135,500,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 White,Mercedes-Benz,GLE-Class AMG,2018,foreign used,automatic,"₦ 56,000,000"
